Datetime,Temperature
2005-01-01,11.704166666666666
2005-01-02,6.858333333333333
2005-01-03,8.645833333333334
2005-01-04,13.679166666666667
2005-01-05,7.5
2005-01-06,4.5249999999999995
2005-01-07,6.720833333333334
2005-01-08,5.945833333333333
2005-01-09,4.825
2005-01-10,5.8374999999999995
2005-01-11,6.604166666666667
2005-01-12,6.783333333333334
2005-01-13,10.329166666666667
2005-01-14,10.7875
2005-01-15,1.2291666666666667
2005-01-16,0.13749999999999996
2005-01-17,-3.1208333333333336
2005-01-18,-7.608333333333333
2005-01-19,-6.508333333333333
2005-01-20,-1.2416666666666667
2005-01-21,-4.195833333333334
2005-01-22,-8.425
2005-01-23,-6.695833333333333
2005-01-24,-7.245833333333334
2005-01-25,0.30416666666666664
2005-01-26,5.2124999999999995
2005-01-27,-2.55
2005-01-28,-4.833333333333333
2005-01-29,-1.0416666666666667
2005-01-30,1.8625
2005-01-31,1.8499999999999999
2005-02-01,2.3428571428571425
2005-02-02,0.975
2005-02-03,1.6916666666666667
2005-02-04,3.525
2005-02-05,7.4624999999999995
2005-02-06,7.2250000000000005
2005-02-07,6.825
2005-02-08,6.3125
2005-02-09,9.4625
2005-02-10,6.558333333333334
2005-02-11,0.8958333333333334
2005-02-12,3.65
2005-02-13,5.095833333333333
2005-02-14,4.3
2005-02-15,9.625
2005-02-16,9.1
2005-02-17,4.5375000000000005
2005-02-18,-1.2541666666666667
2005-02-19,-2.6458333333333335
2005-02-20,1.5
2005-02-21,3.6916666666666664
2005-02-22,5.491666666666667
2005-02-23,5.670833333333333
2005-02-24,0.14615384615384613
2005-02-25,-1.6541666666666666
2005-02-26,1.1814814814814814
2005-02-27,1.0074074074074075
2005-02-28,0.3333333333333333
2005-03-01,1.104
2005-03-02,0.6576923076923078
2005-03-03,-1.5041666666666667
2005-03-04,0.14166666666666664
2005-03-05,3.7249999999999996
2005-03-06,6.066666666666666
2005-03-07,13.424999999999999
2005-03-08,7.745833333333334
2005-03-09,-2.8166666666666664
2005-03-10,-0.5791666666666667
2005-03-11,4.295833333333333
2005-03-12,4.7
2005-03-13,4.833333333333333
2005-03-14,4.045833333333333
